,ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,University,ID University,Slug University,Location
242,white,White,2012,2012,6023,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
18,asian,Asian,2020,2020,2895,Carnegie Mellon University,211440,carnegie-mellon-university,PA
19,black,Black or African American,2020,2020,415,Carnegie Mellon University,211440,carnegie-mellon-university,PA
20,hawaiian,Native Hawaiian or Other Pacific Islanders,2020,2020,7,Carnegie Mellon University,211440,carnegie-mellon-university,PA
21,hispanic,Hispanic or Latino,2020,2020,788,Carnegie Mellon University,211440,carnegie-mellon-university,PA
22,multiracial,Two or More Races,2020,2020,367,Carnegie Mellon University,211440,carnegie-mellon-university,PA
23,native,American Indian or Alaska Native,2020,2020,2,Carnegie Mellon University,211440,carnegie-mellon-university,PA
24,nonresident,Non-resident Alien,2020,2020,5014,Carnegie Mellon University,211440,carnegie-mellon-university,PA
25,unknown,Unknown,2020,2020,860,Carnegie Mellon University,211440,carnegie-mellon-university,PA
26,white,White,2020,2020,3171,Carnegie Mellon University,211440,carnegie-mellon-university,PA
45,asian,Asian,2019,2019,2722,Carnegie Mellon University,211440,carnegie-mellon-university,PA
46,black,Black or African American,2019,2019,394,Carnegie Mellon University,211440,carnegie-mellon-university,PA
47,hawaiian,Native Hawaiian or Other Pacific Islanders,2019,2019,5,Carnegie Mellon University,211440,carnegie-mellon-university,PA
48,hispanic,Hispanic or Latino,2019,2019,759,Carnegie Mellon University,211440,carnegie-mellon-university,PA
49,multiracial,Two or More Races,2019,2019,352,Carnegie Mellon University,211440,carnegie-mellon-university,PA
50,native,American Indian or Alaska Native,2019,2019,3,Carnegie Mellon University,211440,carnegie-mellon-university,PA
51,nonresident,Non-resident Alien,2019,2019,5868,Carnegie Mellon University,211440,carnegie-mellon-university,PA
52,unknown,Unknown,2019,2019,789,Carnegie Mellon University,211440,carnegie-mellon-university,PA
53,white,White,2019,2019,3288,Carnegie Mellon University,211440,carnegie-mellon-university,PA
72,asian,Asian,2018,2018,2628,Carnegie Mellon University,211440,carnegie-mellon-university,PA
73,black,Black or African American,2018,2018,421,Carnegie Mellon University,211440,carnegie-mellon-university,PA
74,hawaiian,Native Hawaiian or Other Pacific Islanders,2018,2018,4,Carnegie Mellon University,211440,carnegie-mellon-university,PA
75,hispanic,Hispanic or Latino,2018,2018,763,Carnegie Mellon University,211440,carnegie-mellon-university,PA
76,multiracial,Two or More Races,2018,2018,337,Carnegie Mellon University,211440,carnegie-mellon-university,PA
77,native,American Indian or Alaska Native,2018,2018,3,Carnegie Mellon University,211440,carnegie-mellon-university,PA
78,nonresident,Non-resident Alien,2018,2018,5755,Carnegie Mellon University,211440,carnegie-mellon-university,PA
79,unknown,Unknown,2018,2018,762,Carnegie Mellon University,211440,carnegie-mellon-university,PA
80,white,White,2018,2018,3356,Carnegie Mellon University,211440,carnegie-mellon-university,PA
99,asian,Asian,2017,2017,2506,Carnegie Mellon University,211440,carnegie-mellon-university,PA
100,black,Black or African American,2017,2017,414,Carnegie Mellon University,211440,carnegie-mellon-university,PA
101,hawaiian,Native Hawaiian or Other Pacific Islanders,2017,2017,4,Carnegie Mellon University,211440,carnegie-mellon-university,PA
102,hispanic,Hispanic or Latino,2017,2017,726,Carnegie Mellon University,211440,carnegie-mellon-university,PA
103,multiracial,Two or More Races,2017,2017,356,Carnegie Mellon University,211440,carnegie-mellon-university,PA
104,native,American Indian or Alaska Native,2017,2017,4,Carnegie Mellon University,211440,carnegie-mellon-university,PA
105,nonresident,Non-resident Alien,2017,2017,5738,Carnegie Mellon University,211440,carnegie-mellon-university,PA
106,unknown,Unknown,2017,2017,720,Carnegie Mellon University,211440,carnegie-mellon-university,PA
107,white,White,2017,2017,3401,Carnegie Mellon University,211440,carnegie-mellon-university,PA
126,asian,Asian,2016,2016,2347,Carnegie Mellon University,211440,carnegie-mellon-university,PA
127,black,Black or African American,2016,2016,391,Carnegie Mellon University,211440,carnegie-mellon-university,PA
128,hawaiian,Native Hawaiian or Other Pacific Islanders,2016,2016,5,Carnegie Mellon University,211440,carnegie-mellon-university,PA
129,hispanic,Hispanic or Latino,2016,2016,650,Carnegie Mellon University,211440,carnegie-mellon-university,PA
130,multiracial,Two or More Races,2016,2016,349,Carnegie Mellon University,211440,carnegie-mellon-university,PA
131,native,American Indian or Alaska Native,2016,2016,5,Carnegie Mellon University,211440,carnegie-mellon-university,PA
132,nonresident,Non-resident Alien,2016,2016,5412,Carnegie Mellon University,211440,carnegie-mellon-university,PA
133,unknown,Unknown,2016,2016,621,Carnegie Mellon University,211440,carnegie-mellon-university,PA
134,white,White,2016,2016,3478,Carnegie Mellon University,211440,carnegie-mellon-university,PA
153,asian,Asian,2015,2015,2195,Carnegie Mellon University,211440,carnegie-mellon-university,PA
154,black,Black or African American,2015,2015,386,Carnegie Mellon University,211440,carnegie-mellon-university,PA
155,hawaiian,Native Hawaiian or Other Pacific Islanders,2015,2015,3,Carnegie Mellon University,211440,carnegie-mellon-university,PA
156,hispanic,Hispanic or Latino,2015,2015,620,Carnegie Mellon University,211440,carnegie-mellon-university,PA
157,multiracial,Two or More Races,2015,2015,327,Carnegie Mellon University,211440,carnegie-mellon-university,PA
158,native,American Indian or Alaska Native,2015,2015,11,Carnegie Mellon University,211440,carnegie-mellon-university,PA
159,nonresident,Non-resident Alien,2015,2015,5226,Carnegie Mellon University,211440,carnegie-mellon-university,PA
160,unknown,Unknown,2015,2015,656,Carnegie Mellon University,211440,carnegie-mellon-university,PA
161,white,White,2015,2015,3539,Carnegie Mellon University,211440,carnegie-mellon-university,PA
180,asian,Asian,2014,2014,2071,Carnegie Mellon University,211440,carnegie-mellon-university,PA
181,black,Black or African American,2014,2014,402,Carnegie Mellon University,211440,carnegie-mellon-university,PA
182,hawaiian,Native Hawaiian or Other Pacific Islanders,2014,2014,2,Carnegie Mellon University,211440,carnegie-mellon-university,PA
183,hispanic,Hispanic or Latino,2014,2014,574,Carnegie Mellon University,211440,carnegie-mellon-university,PA
184,multiracial,Two or More Races,2014,2014,334,Carnegie Mellon University,211440,carnegie-mellon-university,PA
185,native,American Indian or Alaska Native,2014,2014,9,Carnegie Mellon University,211440,carnegie-mellon-university,PA
186,nonresident,Non-resident Alien,2014,2014,4820,Carnegie Mellon University,211440,carnegie-mellon-university,PA
187,unknown,Unknown,2014,2014,628,Carnegie Mellon University,211440,carnegie-mellon-university,PA
188,white,White,2014,2014,3747,Carnegie Mellon University,211440,carnegie-mellon-university,PA
207,asian,Asian,2013,2013,1936,Carnegie Mellon University,211440,carnegie-mellon-university,PA
208,black,Black or African American,2013,2013,426,Carnegie Mellon University,211440,carnegie-mellon-university,PA
209,hawaiian,Native Hawaiian or Other Pacific Islanders,2013,2013,1,Carnegie Mellon University,211440,carnegie-mellon-university,PA
210,hispanic,Hispanic or Latino,2013,2013,574,Carnegie Mellon University,211440,carnegie-mellon-university,PA
